# 2026년 8주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-02-20 17:21:49
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 95
# 정상: 82 / 경고: 2 / 위험: 11 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-009,커널 버전,GPU Master,GPU,Master #3,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-20T17:21:37.188240
OS-001,디스크 사용량,GPU Worker,GPU,Worker #1,루트 파일시스템 디스크 사용률 확인,정상,53,80%,정상 범위,high,2026-02-20T17:21:37.538111
OS-002,메모리 사용량,GPU Worker,GPU,Worker #1,시스템 메모리 사용률 확인,정상,20.9,85%,정상 범위,high,2026-02-20T17:21:37.885508
OS-003,CPU 사용량,GPU Worker,GPU,Worker #1,CPU 평균 사용률 확인,정상,4,90%,정상 범위,high,2026-02-20T17:21:38.424158
OS-004,시스템 업타임,GPU Worker,GPU,Worker #1,시스템 가동 시간 확인,정상,"up 1 day, 6 hours, 23 minutes",-,정보 수집 완료,info,2026-02-20T17:21:38.760979
OS-005,좀비 프로세스,GPU Worker,GPU,Worker #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-20T17:21:39.138514
OS-006,로드 애버리지,GPU Worker,GPU,Worker #1,1분 평균 로드 확인,정상,0.53,8.0,정상 범위,medium,2026-02-20T17:21:39.379079
OS-007,열린 파일 수,GPU Worker,GPU,Worker #1,시스템 전체 열린 파일 디스크립터 수,정상,15072,100000개,정상 범위,low,2026-02-20T17:21:39.611885
OS-008,네트워크 연결,GPU Worker,GPU,Worker #1,ESTABLISHED 상태 TCP 연결 수,정상,42,2000개,정상 범위,low,2026-02-20T17:21:39.885341
OS-009,커널 버전,GPU Worker,GPU,Worker #1,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-20T17:21:40.137427
OS-001,디스크 사용량,GPU Worker,GPU,Worker #2,루트 파일시스템 디스크 사용률 확인,정상,66,80%,정상 범위,high,2026-02-20T17:21:40.487478
OS-002,메모리 사용량,GPU Worker,GPU,Worker #2,시스템 메모리 사용률 확인,정상,50.4,85%,정상 범위,high,2026-02-20T17:21:40.826815
OS-003,CPU 사용량,GPU Worker,GPU,Worker #2,CPU 평균 사용률 확인,정상,4,90%,정상 범위,high,2026-02-20T17:21:41.342933
OS-004,시스템 업타임,GPU Worker,GPU,Worker #2,시스템 가동 시간 확인,정상,"up 4 weeks, 4 days, 7 hours, 56 minutes",-,정보 수집 완료,info,2026-02-20T17:21:41.674746
OS-005,좀비 프로세스,GPU Worker,GPU,Worker #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-20T17:21:42.059572
OS-006,로드 애버리지,GPU Worker,GPU,Worker #2,1분 평균 로드 확인,정상,1.09,8.0,정상 범위,medium,2026-02-20T17:21:42.281515
OS-007,열린 파일 수,GPU Worker,GPU,Worker #2,시스템 전체 열린 파일 디스크립터 수,정상,6656,100000개,정상 범위,low,2026-02-20T17:21:42.497448
OS-008,네트워크 연결,GPU Worker,GPU,Worker #2,ESTABLISHED 상태 TCP 연결 수,정상,44,2000개,정상 범위,low,2026-02-20T17:21:42.739229
OS-009,커널 버전,GPU Worker,GPU,Worker #2,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-20T17:21:42.964637
OS-001,디스크 사용량,GPU Worker,GPU,Worker #3,루트 파일시스템 디스크 사용률 확인,정상,51,80%,정상 범위,high,2026-02-20T17:21:43.226071
OS-002,메모리 사용량,GPU Worker,GPU,Worker #3,시스템 메모리 사용률 확인,정상,25.4,85%,정상 범위,high,2026-02-20T17:21:43.504977
OS-003,CPU 사용량,GPU Worker,GPU,Worker #3,CPU 평균 사용률 확인,정상,6,90%,정상 범위,high,2026-02-20T17:21:43.974256
OS-004,시스템 업타임,GPU Worker,GPU,Worker #3,시스템 가동 시간 확인,정상,"up 1 day, 6 hours, 26 minutes",-,정보 수집 완료,info,2026-02-20T17:21:44.238514
