# 2026년 9주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-02-26 14:38:40
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 91
# 정상: 78 / 경고: 2 / 위험: 11 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
CICD-repo-Repository,Repository 서비스,CI/CD,CI/CD 인프라,Repo 서버,Repo 서버 Repository 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-26T14:37:04.569393
CICD-nexus-Nexus_Web,Nexus Web 서비스,CI/CD,CI/CD 인프라,Nexus 서버,Nexus 서버 Nexus Web 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-26T14:37:19.579895
CICD-jenkins_primary-Jenkins,Jenkins 서비스,CI/CD,CI/CD 인프라,Jenkins #1 (Primary),Jenkins #1 (Primary) Jenkins 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-26T14:37:34.595604
CICD-jenkins_secondary-Jenkins,Jenkins 서비스,CI/CD,CI/CD 인프라,Jenkins #2 (Backup),Jenkins #2 (Backup) Jenkins 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-26T14:37:49.611419
CICD-gitlab_primary-GitLab,GitLab 서비스,CI/CD,CI/CD 인프라,GitLab #1,GitLab #1 GitLab 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-26T14:38:04.627199
CICD-gitlab_secondary-GitLab,GitLab 서비스,CI/CD,CI/CD 인프라,GitLab #2,GitLab #2 GitLab 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-26T14:38:19.642939
SSL-001-example.com,example.com SSL,SSL,인증서,example.com,주요 도메인의 인증서 만료일자 확인,정상,May 14 18:57:50 2026 GMT,-,정상 (77일 남음),high,2026-02-26T14:38:19.736407
OS-001,디스크 사용량,GPU Master,GPU,Master #1,루트 파일시스템 디스크 사용률 확인,정상,53,80%,정상 범위,high,2026-02-26T14:38:20.191043
OS-002,메모리 사용량,GPU Master,GPU,Master #1,시스템 메모리 사용률 확인,정상,23.8,85%,정상 범위,high,2026-02-26T14:38:20.418883
OS-003,CPU 사용량,GPU Master,GPU,Master #1,CPU 평균 사용률 확인,정상,1,90%,정상 범위,high,2026-02-26T14:38:20.825804
OS-004,시스템 업타임,GPU Master,GPU,Master #1,시스템 가동 시간 확인,정상,"up 5 weeks, 3 days, 3 hours, 30 minutes",-,정보 수집 완료,info,2026-02-26T14:38:21.044262
OS-005,좀비 프로세스,GPU Master,GPU,Master #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-26T14:38:21.303359
OS-006,로드 애버리지,GPU Master,GPU,Master #1,1분 평균 로드 확인,정상,0.59,8.0,정상 범위,medium,2026-02-26T14:38:21.532209
OS-007,열린 파일 수,GPU Master,GPU,Master #1,시스템 전체 열린 파일 디스크립터 수,정상,2784,100000개,정상 범위,low,2026-02-26T14:38:21.777872
