# 2026년 9주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-02-26 14:38:40
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 91
# 정상: 78 / 경고: 2 / 위험: 11 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-008,네트워크 연결,GPU Master,GPU,Master #1,ESTABLISHED 상태 TCP 연결 수,정상,1145,2000개,정상 범위,low,2026-02-26T14:38:22.037214
OS-009,커널 버전,GPU Master,GPU,Master #1,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-26T14:38:22.259801
OS-001,디스크 사용량,GPU Master,GPU,Master #2,루트 파일시스템 디스크 사용률 확인,정상,60,80%,정상 범위,high,2026-02-26T14:38:22.671988
OS-002,메모리 사용량,GPU Master,GPU,Master #2,시스템 메모리 사용률 확인,정상,24.0,85%,정상 범위,high,2026-02-26T14:38:22.885903
OS-003,CPU 사용량,GPU Master,GPU,Master #2,CPU 평균 사용률 확인,정상,2,90%,정상 범위,high,2026-02-26T14:38:23.282117
OS-004,시스템 업타임,GPU Master,GPU,Master #2,시스템 가동 시간 확인,정상,"up 5 weeks, 3 days, 4 hours, 3 minutes",-,정보 수집 완료,info,2026-02-26T14:38:23.501884
OS-005,좀비 프로세스,GPU Master,GPU,Master #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-26T14:38:23.733834
OS-006,로드 애버리지,GPU Master,GPU,Master #2,1분 평균 로드 확인,정상,0.86,8.0,정상 범위,medium,2026-02-26T14:38:23.954068
OS-007,열린 파일 수,GPU Master,GPU,Master #2,시스템 전체 열린 파일 디스크립터 수,정상,2688,100000개,정상 범위,low,2026-02-26T14:38:24.174432
OS-008,네트워크 연결,GPU Master,GPU,Master #2,ESTABLISHED 상태 TCP 연결 수,정상,1145,2000개,정상 범위,low,2026-02-26T14:38:24.405914
OS-009,커널 버전,GPU Master,GPU,Master #2,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-26T14:38:24.611282
OS-001,디스크 사용량,GPU Master,GPU,Master #3,루트 파일시스템 디스크 사용률 확인,정상,58,80%,정상 범위,high,2026-02-26T14:38:25.082556
OS-002,메모리 사용량,GPU Master,GPU,Master #3,시스템 메모리 사용률 확인,정상,26.7,85%,정상 범위,high,2026-02-26T14:38:25.301142
OS-003,CPU 사용량,GPU Master,GPU,Master #3,CPU 평균 사용률 확인,정상,2,90%,정상 범위,high,2026-02-26T14:38:25.713834
OS-004,시스템 업타임,GPU Master,GPU,Master #3,시스템 가동 시간 확인,정상,"up 5 weeks, 3 days, 3 hours, 43 minutes",-,정보 수집 완료,info,2026-02-26T14:38:25.959102
OS-005,좀비 프로세스,GPU Master,GPU,Master #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-26T14:38:26.215794
OS-006,로드 애버리지,GPU Master,GPU,Master #3,1분 평균 로드 확인,정상,0.39,8.0,정상 범위,medium,2026-02-26T14:38:26.438272
OS-007,열린 파일 수,GPU Master,GPU,Master #3,시스템 전체 열린 파일 디스크립터 수,정상,2880,100000개,정상 범위,low,2026-02-26T14:38:26.671478
OS-008,네트워크 연결,GPU Master,GPU,Master #3,ESTABLISHED 상태 TCP 연결 수,정상,1215,2000개,정상 범위,low,2026-02-26T14:38:26.980332
OS-009,커널 버전,GPU Master,GPU,Master #3,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-26T14:38:27.221224
OS-001,디스크 사용량,GPU Worker,GPU,Worker #1,루트 파일시스템 디스크 사용률 확인,정상,66,80%,정상 범위,high,2026-02-26T14:38:27.610976
OS-002,메모리 사용량,GPU Worker,GPU,Worker #1,시스템 메모리 사용률 확인,정상,47.0,85%,정상 범위,high,2026-02-26T14:38:27.980884
OS-003,CPU 사용량,GPU Worker,GPU,Worker #1,CPU 평균 사용률 확인,정상,9,90%,정상 범위,high,2026-02-26T14:38:28.564955
OS-004,시스템 업타임,GPU Worker,GPU,Worker #1,시스템 가동 시간 확인,정상,"up 1 week, 3 hours, 40 minutes",-,정보 수집 완료,info,2026-02-26T14:38:28.932350
OS-005,좀비 프로세스,GPU Worker,GPU,Worker #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-26T14:38:29.341001
OS-006,로드 애버리지,GPU Worker,GPU,Worker #1,1분 평균 로드 확인,정상,4.46,8.0,정상 범위,medium,2026-02-26T14:38:29.587395
OS-007,열린 파일 수,GPU Worker,GPU,Worker #1,시스템 전체 열린 파일 디스크립터 수,정상,13216,100000개,정상 범위,low,2026-02-26T14:38:29.821183
OS-008,네트워크 연결,GPU Worker,GPU,Worker #1,ESTABLISHED 상태 TCP 연결 수,정상,45,2000개,정상 범위,low,2026-02-26T14:38:30.076053
OS-009,커널 버전,GPU Worker,GPU,Worker #1,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-26T14:38:30.319245
OS-001,디스크 사용량,GPU Worker,GPU,Worker #2,루트 파일시스템 디스크 사용률 확인,정상,63,80%,정상 범위,high,2026-02-26T14:38:30.645848
OS-002,메모리 사용량,GPU Worker,GPU,Worker #2,시스템 메모리 사용률 확인,정상,17.9,85%,정상 범위,high,2026-02-26T14:38:30.957470
OS-003,CPU 사용량,GPU Worker,GPU,Worker #2,CPU 평균 사용률 확인,정상,1,90%,정상 범위,high,2026-02-26T14:38:31.448107
OS-004,시스템 업타임,GPU Worker,GPU,Worker #2,시스템 가동 시간 확인,정상,"up 2 days, 5 hours, 6 minutes",-,정보 수집 완료,info,2026-02-26T14:38:31.741958
OS-005,좀비 프로세스,GPU Worker,GPU,Worker #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-26T14:38:32.090785
OS-006,로드 애버리지,GPU Worker,GPU,Worker #2,1분 평균 로드 확인,정상,1.85,8.0,정상 범위,medium,2026-02-26T14:38:32.323064
OS-007,열린 파일 수,GPU Worker,GPU,Worker #2,시스템 전체 열린 파일 디스크립터 수,정상,2944,100000개,정상 범위,low,2026-02-26T14:38:32.554283
OS-008,네트워크 연결,GPU Worker,GPU,Worker #2,ESTABLISHED 상태 TCP 연결 수,정상,35,2000개,정상 범위,low,2026-02-26T14:38:32.805963
OS-009,커널 버전,GPU Worker,GPU,Worker #2,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-26T14:38:33.040024
OS-001,디스크 사용량,GPU Worker,GPU,Worker #3,루트 파일시스템 디스크 사용률 확인,정상,59,80%,정상 범위,high,2026-02-26T14:38:33.347412
OS-002,메모리 사용량,GPU Worker,GPU,Worker #3,시스템 메모리 사용률 확인,정상,37.5,85%,정상 범위,high,2026-02-26T14:38:33.609423
OS-003,CPU 사용량,GPU Worker,GPU,Worker #3,CPU 평균 사용률 확인,정상,9,90%,정상 범위,high,2026-02-26T14:38:34.080460
OS-004,시스템 업타임,GPU Worker,GPU,Worker #3,시스템 가동 시간 확인,정상,"up 1 week, 3 hours, 43 minutes",-,정보 수집 완료,info,2026-02-26T14:38:34.355503
OS-005,좀비 프로세스,GPU Worker,GPU,Worker #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-26T14:38:34.664848
OS-006,로드 애버리지,GPU Worker,GPU,Worker #3,1분 평균 로드 확인,정상,4.90,8.0,정상 범위,medium,2026-02-26T14:38:34.878533
OS-007,열린 파일 수,GPU Worker,GPU,Worker #3,시스템 전체 열린 파일 디스크립터 수,정상,6176,100000개,정상 범위,low,2026-02-26T14:38:35.099363
OS-008,네트워크 연결,GPU Worker,GPU,Worker #3,ESTABLISHED 상태 TCP 연결 수,정상,45,2000개,정상 범위,low,2026-02-26T14:38:35.314599
OS-009,커널 버전,GPU Worker,GPU,Worker #3,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-26T14:38:35.537978
K8S-001,노드 상태,Kubernetes,GPU,GPU Cluster,모든 노드 Ready 상태 확인,정상,"gpu-master-01:Ready
gpu-master-02:Ready
gpu-master-03:Ready
gpu-node-01:Ready
gpu-worker-01:Ready
gpu-worker-02:Ready
gpu-worker-03:Ready",-,모두 정상 (7/7),critical,2026-02-26T14:38:35.632201
K8S-002,노드 CPU 사용량,Kubernetes,GPU,GPU Cluster,노드별 CPU 사용률,정상,"gpu-master-01:6
gpu-master-02:5
gpu-master-03:8
gpu-node-01:2
gpu-worker-01:7
gpu-worker-02:4
gpu-worker-03:6",80%,정상 범위,high,2026-02-26T14:38:35.708520
K8S-003,노드 메모리 사용량,Kubernetes,GPU,GPU Cluster,노드별 메모리 사용률,정상,"gpu-master-01:28
gpu-master-02:27
gpu-master-03:30
gpu-node-01:5
gpu-worker-01:50
gpu-worker-02:19
gpu-worker-03:41",80%,정상 범위,high,2026-02-26T14:38:35.779288
K8S-004,Control Plane Pod 상태,Kubernetes,GPU,GPU Cluster,kube-system 네임스페이스 Pod 상태,정상,"calico-kube-controllers-85d77456b8-nzsbs:Running
calico-node-62fc2:Running
calico-node-6dwnd:Running
calico-node-7jrrz:Running
calico-node-8nwsd:Running
calico-node-jlq96:Running
calico-node-x4spl:Run",-,모두 정상 (32/32),critical,2026-02-26T14:38:35.868241
K8S-005,Warning 이벤트,Kubernetes,GPU,GPU Cluster,최근 1시간 이내 Warning 이벤트 수 (현재 상태만 확인),위험,64,50개,임계치 초과 (64개 / 50개),medium,2026-02-26T14:38:35.966329
K8S-006,NotReady 노드,Kubernetes,GPU,GPU Cluster,NotReady 상태 노드 수,정상,"0
0",-,정상,critical,2026-02-26T14:38:36.049632
SVC-001,Deployment 상태,Services,GPU,GPU Services,모든 Deployment Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-02-26T14:38:36.182622
SVC-002,StatefulSet 상태,Services,GPU,GPU Services,모든 StatefulSet Ready 상태,경고,vault:0/1,-,불일치 리소스 1개,high,2026-02-26T14:38:36.288381
SVC-003,DaemonSet 상태,Services,GPU,GPU Services,모든 DaemonSet Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-02-26T14:38:36.387093
SVC-004,Service Endpoints,Services,GPU,GPU Services,Endpoint 없는 Service 수,경고,1,-,주의 필요 (1.0개),medium,2026-02-26T14:38:36.471438
SVC-005,Ingress 상태,Services,GPU,GPU Services,Ingress 리소스 수,정상,17,-,정보 수집 완료,info,2026-02-26T14:38:36.668385
SVC-006,Pod 재시작 과다,Services,GPU,GPU Services,현재 실행 중인 Pod 중 재시작 15회 이상인 Pod 수,정상,0,-,정상,medium,2026-02-26T14:38:36.889993
SVC-007,Pending Pod,Services,GPU,GPU Services,Pending 상태 Pod 수,정상,0,-,정상,high,2026-02-26T14:38:36.961456
SVC-008,Failed Pod,Services,GPU,GPU Services,Failed 상태 Pod 수,정상,0,-,정상,critical,2026-02-26T14:38:37.022553
SVC-009,CronJob 상태,Services,GPU,GPU Services,CronJob 개수,정상,0,-,정보 수집 완료,info,2026-02-26T14:38:38.227955
SVC-010,Failed Job,Services,GPU,GPU Services,Failed 상태 Job 수,정상,0,-,정상,medium,2026-02-26T14:38:38.613889
APP-ARGO-01,ArgoCD Server,ArgoCD,GPU,GPU Apps,ArgoCD 웹 서버 정상 작동 확인,정상,1,1개,정상 (현재 1개),critical,2026-02-26T14:38:38.679352
APP-HBR-01,Harbor Core,Harbor,GPU,GPU Apps,Harbor Core 서비스 상태,정상,1,1개,정상 (현재 1개),critical,2026-02-26T14:38:38.765167
APP-HBR-02,Harbor Registry,Harbor,GPU,GPU Apps,Registry 서비스 상태,정상,1,1개,정상 (현재 1개),critical,2026-02-26T14:38:38.912349
APP-MON-01,Grafana,Monitoring,GPU,GPU Apps,Grafana 대시보드 파드 상태,정상,1,1개,정상 (현재 1개),medium,2026-02-26T14:38:38.981351
APP-ELK-01,Elasticsearch Master,Logging,GPU,GPU Apps,Elasticsearch 마스터 노드 수,위험,0,3개,개수 부족 (현재 0/3),high,2026-02-26T14:38:39.052202
APP-KEY-01,Keycloak,Auth,GPU,GPU Apps,Keycloak 인증 서버 상태,정상,1,1개,정상 (현재 1개),critical,2026-02-26T14:38:39.122498
APP-LOKI-01,Loki Gateway,Logging,GPU,GPU Apps,Loki Gateway 서비스 상태,정상,1,1개,정상 (현재 1개),high,2026-02-26T14:38:39.196748
APP-LOKI-02,Loki Write/Read,Logging,GPU,GPU Apps,Loki 읽기/쓰기 노드 상태,정상,6,2개,정상 (현재 6개),medium,2026-02-26T14:38:39.280351
APP-RABBIT-01,RabbitMQ,Middleware,GPU,GPU Apps,RabbitMQ 메시지 브로커 상태,위험,0,1개,개수 부족 (현재 0/1),high,2026-02-26T14:38:39.356047
APP-SONAR-01,SonarQube,CICD,GPU,GPU Apps,SonarQube 서버 상태,위험,0,1개,개수 부족 (현재 0/1),medium,2026-02-26T14:38:39.428337
APP-TRAEFIK-01,Traefik,Ingress,GPU,GPU Apps,Traefik Ingress Controller 상태,위험,0,1개,개수 부족 (현재 0/1),critical,2026-02-26T14:38:39.503535
SW-VER-01,Kubernetes 버전,SW Version,GPU,gpu-master01,Kubelet 버전 확인 (Node 레벨),정상,v1.34.3,-,버전 정보,info,2026-02-26T14:38:40.023623
SW-VER-02,Containerd 버전,SW Version,GPU,gpu-master01,Containerd 런타임 버전 확인,정상,v2.2.1,-,버전 정보,info,2026-02-26T14:38:40.259222
SW-VER-03,전체 Pod 이미지 현황,SW Version,GPU,GPU Cluster,클러스터 내 구동 중인 모든 Pod의 이미지 태그 추출,정상,총 172개 이미지 (상세 생략),-,이미지 172개 추출 완료,info,2026-02-26T14:38:40.842248
