# 2026년 9주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-02-25 09:51:56
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 98
# 정상: 80 / 경고: 3 / 위험: 14 / 확인불가: 1

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-001,디스크 사용량,STG Worker,STG,Worker #1,루트 파일시스템 디스크 사용률 확인,정상,13,80%,정상 범위,high,2026-02-25T09:51:36.634533
OS-002,메모리 사용량,STG Worker,STG,Worker #1,시스템 메모리 사용률 확인,정상,24.2,85%,정상 범위,high,2026-02-25T09:51:36.845048
OS-003,CPU 사용량,STG Worker,STG,Worker #1,CPU 평균 사용률 확인,정상,11,90%,정상 범위,high,2026-02-25T09:51:37.222953
OS-004,시스템 업타임,STG Worker,STG,Worker #1,시스템 가동 시간 확인,정상,"up 2 weeks, 6 days, 19 hours, 20 minutes",-,정보 수집 완료,info,2026-02-25T09:51:37.422673
OS-005,좀비 프로세스,STG Worker,STG,Worker #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-25T09:51:37.639035
OS-006,로드 애버리지,STG Worker,STG,Worker #1,1분 평균 로드 확인,정상,0.29,8.0,정상 범위,medium,2026-02-25T09:51:37.857027
OS-007,열린 파일 수,STG Worker,STG,Worker #1,시스템 전체 열린 파일 디스크립터 수,정상,3520,100000개,정상 범위,low,2026-02-25T09:51:38.069374
OS-008,네트워크 연결,STG Worker,STG,Worker #1,ESTABLISHED 상태 TCP 연결 수,정상,37,2000개,정상 범위,low,2026-02-25T09:51:38.281293
OS-009,커널 버전,STG Worker,STG,Worker #1,현재 커널 버전 정보,정상,5.14.0-570.17.1.el9_6.x86_64,-,정보 수집 완료,info,2026-02-25T09:51:38.483834
OS-001,디스크 사용량,STG Worker,STG,Worker #2,루트 파일시스템 디스크 사용률 확인,정상,13,80%,정상 범위,high,2026-02-25T09:51:38.818292
OS-002,메모리 사용량,STG Worker,STG,Worker #2,시스템 메모리 사용률 확인,정상,17.6,85%,정상 범위,high,2026-02-25T09:51:39.016080
OS-003,CPU 사용량,STG Worker,STG,Worker #2,CPU 평균 사용률 확인,정상,4,90%,정상 범위,high,2026-02-25T09:51:39.392323
OS-004,시스템 업타임,STG Worker,STG,Worker #2,시스템 가동 시간 확인,정상,"up 2 weeks, 6 days, 19 hours, 20 minutes",-,정보 수집 완료,info,2026-02-25T09:51:39.592720
OS-005,좀비 프로세스,STG Worker,STG,Worker #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-25T09:51:39.855839
OS-006,로드 애버리지,STG Worker,STG,Worker #2,1분 평균 로드 확인,정상,0.10,8.0,정상 범위,medium,2026-02-25T09:51:40.074622
OS-007,열린 파일 수,STG Worker,STG,Worker #2,시스템 전체 열린 파일 디스크립터 수,정상,3392,100000개,정상 범위,low,2026-02-25T09:51:40.297776
OS-008,네트워크 연결,STG Worker,STG,Worker #2,ESTABLISHED 상태 TCP 연결 수,정상,34,2000개,정상 범위,low,2026-02-25T09:51:40.518024
OS-009,커널 버전,STG Worker,STG,Worker #2,현재 커널 버전 정보,정상,5.14.0-570.17.1.el9_6.x86_64,-,정보 수집 완료,info,2026-02-25T09:51:40.712037
OS-001,디스크 사용량,STG Worker,STG,Worker #3,루트 파일시스템 디스크 사용률 확인,정상,13,80%,정상 범위,high,2026-02-25T09:51:41.030503
OS-002,메모리 사용량,STG Worker,STG,Worker #3,시스템 메모리 사용률 확인,정상,24.9,85%,정상 범위,high,2026-02-25T09:51:41.227655
OS-003,CPU 사용량,STG Worker,STG,Worker #3,CPU 평균 사용률 확인,정상,4,90%,정상 범위,high,2026-02-25T09:51:41.595135
OS-004,시스템 업타임,STG Worker,STG,Worker #3,시스템 가동 시간 확인,정상,"up 2 weeks, 6 days, 19 hours, 20 minutes",-,정보 수집 완료,info,2026-02-25T09:51:41.794922
OS-005,좀비 프로세스,STG Worker,STG,Worker #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-25T09:51:42.010892
OS-006,로드 애버리지,STG Worker,STG,Worker #3,1분 평균 로드 확인,정상,0.01,8.0,정상 범위,medium,2026-02-25T09:51:42.204679
OS-007,열린 파일 수,STG Worker,STG,Worker #3,시스템 전체 열린 파일 디스크립터 수,정상,3392,100000개,정상 범위,low,2026-02-25T09:51:42.419019
OS-008,네트워크 연결,STG Worker,STG,Worker #3,ESTABLISHED 상태 TCP 연결 수,정상,37,2000개,정상 범위,low,2026-02-25T09:51:42.623045
