# 2026년 5주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-01-28 10:22:18
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 87
# 정상: 78 / 경고: 3 / 위험: 6 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
SSL-001-google.com,google.com SSL,SSL,인증서,google.com,주요 도메인의 인증서 만료일자 확인,경고,Mar 23 19:51:09 2026 GMT,-,갱신 필요 (54일 남음),high,2026-01-28T10:21:57.732854
SSL-001-example.com,example.com SSL,SSL,인증서,example.com,주요 도메인의 인증서 만료일자 확인,경고,Mar 16 18:32:44 2026 GMT,-,갱신 필요 (47일 남음),high,2026-01-28T10:21:57.814764
OS-001,디스크 사용량,DEV Master,DEV,Master #1,루트 파일시스템 디스크 사용률 확인,정상,32,80%,정상 범위,high,2026-01-28T10:21:58.237679
OS-002,메모리 사용량,DEV Master,DEV,Master #1,시스템 메모리 사용률 확인,정상,26.5,85%,정상 범위,high,2026-01-28T10:21:58.462948
OS-003,CPU 사용량,DEV Master,DEV,Master #1,CPU 평균 사용률 확인,정상,2,90%,정상 범위,high,2026-01-28T10:21:58.883863
OS-004,시스템 업타임,DEV Master,DEV,Master #1,시스템 가동 시간 확인,정상,"up 1 week, 1 day, 23 hours, 14 minutes",-,정보 수집 완료,info,2026-01-28T10:21:59.115722
OS-005,좀비 프로세스,DEV Master,DEV,Master #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-01-28T10:21:59.375553
OS-006,로드 애버리지,DEV Master,DEV,Master #1,1분 평균 로드 확인,정상,0.70,8.0,정상 범위,medium,2026-01-28T10:21:59.624120
OS-007,열린 파일 수,DEV Master,DEV,Master #1,시스템 전체 열린 파일 디스크립터 수,정상,2688,100000개,정상 범위,low,2026-01-28T10:21:59.867351
OS-008,네트워크 연결,DEV Master,DEV,Master #1,ESTABLISHED 상태 TCP 연결 수,정상,1165,2000개,정상 범위,low,2026-01-28T10:22:00.166269
OS-009,커널 버전,DEV Master,DEV,Master #1,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-01-28T10:22:00.395481
OS-001,디스크 사용량,DEV Master,DEV,Master #2,루트 파일시스템 디스크 사용률 확인,정상,29,80%,정상 범위,high,2026-01-28T10:22:00.805556
OS-002,메모리 사용량,DEV Master,DEV,Master #2,시스템 메모리 사용률 확인,정상,25.1,85%,정상 범위,high,2026-01-28T10:22:01.025459
OS-003,CPU 사용량,DEV Master,DEV,Master #2,CPU 평균 사용률 확인,정상,0,90%,정상 범위,high,2026-01-28T10:22:01.414471
OS-004,시스템 업타임,DEV Master,DEV,Master #2,시스템 가동 시간 확인,정상,"up 1 week, 1 day, 23 hours, 47 minutes",-,정보 수집 완료,info,2026-01-28T10:22:01.635528
OS-005,좀비 프로세스,DEV Master,DEV,Master #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-01-28T10:22:01.862276
OS-006,로드 애버리지,DEV Master,DEV,Master #2,1분 평균 로드 확인,정상,1.02,8.0,정상 범위,medium,2026-01-28T10:22:02.094964
OS-007,열린 파일 수,DEV Master,DEV,Master #2,시스템 전체 열린 파일 디스크립터 수,정상,2624,100000개,정상 범위,low,2026-01-28T10:22:02.313152
OS-008,네트워크 연결,DEV Master,DEV,Master #2,ESTABLISHED 상태 TCP 연결 수,정상,1162,2000개,정상 범위,low,2026-01-28T10:22:02.579767
OS-009,커널 버전,DEV Master,DEV,Master #2,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-01-28T10:22:02.804382
OS-001,디스크 사용량,DEV Master,DEV,Master #3,루트 파일시스템 디스크 사용률 확인,정상,30,80%,정상 범위,high,2026-01-28T10:22:03.246621
OS-002,메모리 사용량,DEV Master,DEV,Master #3,시스템 메모리 사용률 확인,정상,25.3,85%,정상 범위,high,2026-01-28T10:22:03.481572
OS-003,CPU 사용량,DEV Master,DEV,Master #3,CPU 평균 사용률 확인,정상,2,90%,정상 범위,high,2026-01-28T10:22:03.881610
OS-004,시스템 업타임,DEV Master,DEV,Master #3,시스템 가동 시간 확인,정상,"up 1 week, 1 day, 23 hours, 27 minutes",-,정보 수집 완료,info,2026-01-28T10:22:04.115773
OS-005,좀비 프로세스,DEV Master,DEV,Master #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-01-28T10:22:04.377012
OS-006,로드 애버리지,DEV Master,DEV,Master #3,1분 평균 로드 확인,정상,0.23,8.0,정상 범위,medium,2026-01-28T10:22:04.613599
OS-007,열린 파일 수,DEV Master,DEV,Master #3,시스템 전체 열린 파일 디스크립터 수,정상,2688,100000개,정상 범위,low,2026-01-28T10:22:04.848916
