# 2026년 5주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-01-28 10:22:18
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 87
# 정상: 78 / 경고: 3 / 위험: 6 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-008,네트워크 연결,DEV Master,DEV,Master #3,ESTABLISHED 상태 TCP 연결 수,정상,1168,2000개,정상 범위,low,2026-01-28T10:22:05.156561
OS-009,커널 버전,DEV Master,DEV,Master #3,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-01-28T10:22:05.392958
OS-001,디스크 사용량,DEV Worker,DEV,Worker #1,루트 파일시스템 디스크 사용률 확인,정상,51,80%,정상 범위,high,2026-01-28T10:22:05.794110
OS-002,메모리 사용량,DEV Worker,DEV,Worker #1,시스템 메모리 사용률 확인,정상,35.4,85%,정상 범위,high,2026-01-28T10:22:06.161062
OS-003,CPU 사용량,DEV Worker,DEV,Worker #1,CPU 평균 사용률 확인,정상,3,90%,정상 범위,high,2026-01-28T10:22:06.749080
OS-004,시스템 업타임,DEV Worker,DEV,Worker #1,시스템 가동 시간 확인,정상,"up 1 week, 1 day, 17 hours, 1 minute",-,정보 수집 완료,info,2026-01-28T10:22:07.109041
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-01-28T10:22:07.545426
OS-006,로드 애버리지,DEV Worker,DEV,Worker #1,1분 평균 로드 확인,정상,0.51,8.0,정상 범위,medium,2026-01-28T10:22:07.799978
OS-007,열린 파일 수,DEV Worker,DEV,Worker #1,시스템 전체 열린 파일 디스크립터 수,정상,12896,100000개,정상 범위,low,2026-01-28T10:22:08.059095
OS-008,네트워크 연결,DEV Worker,DEV,Worker #1,ESTABLISHED 상태 TCP 연결 수,정상,42,2000개,정상 범위,low,2026-01-28T10:22:08.359678
OS-009,커널 버전,DEV Worker,DEV,Worker #1,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-01-28T10:22:08.628326
OS-001,디스크 사용량,DEV Worker,DEV,Worker #2,루트 파일시스템 디스크 사용률 확인,정상,46,80%,정상 범위,high,2026-01-28T10:22:08.945414
OS-002,메모리 사용량,DEV Worker,DEV,Worker #2,시스템 메모리 사용률 확인,정상,36.9,85%,정상 범위,high,2026-01-28T10:22:09.240752
OS-003,CPU 사용량,DEV Worker,DEV,Worker #2,CPU 평균 사용률 확인,정상,3,90%,정상 범위,high,2026-01-28T10:22:09.733643
OS-004,시스템 업타임,DEV Worker,DEV,Worker #2,시스템 가동 시간 확인,정상,"up 1 week, 2 days, 57 minutes",-,정보 수집 완료,info,2026-01-28T10:22:10.042103
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-01-28T10:22:10.381948
OS-006,로드 애버리지,DEV Worker,DEV,Worker #2,1분 평균 로드 확인,정상,1.89,8.0,정상 범위,medium,2026-01-28T10:22:10.632272
OS-007,열린 파일 수,DEV Worker,DEV,Worker #2,시스템 전체 열린 파일 디스크립터 수,정상,4896,100000개,정상 범위,low,2026-01-28T10:22:10.861713
OS-008,네트워크 연결,DEV Worker,DEV,Worker #2,ESTABLISHED 상태 TCP 연결 수,정상,42,2000개,정상 범위,low,2026-01-28T10:22:11.126608
OS-009,커널 버전,DEV Worker,DEV,Worker #2,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-01-28T10:22:11.358094
OS-001,디스크 사용량,DEV Worker,DEV,Worker #3,루트 파일시스템 디스크 사용률 확인,정상,50,80%,정상 범위,high,2026-01-28T10:22:11.727226
OS-002,메모리 사용량,DEV Worker,DEV,Worker #3,시스템 메모리 사용률 확인,정상,35.3,85%,정상 범위,high,2026-01-28T10:22:12.063614
OS-003,CPU 사용량,DEV Worker,DEV,Worker #3,CPU 평균 사용률 확인,정상,11,90%,정상 범위,high,2026-01-28T10:22:12.591686
OS-004,시스템 업타임,DEV Worker,DEV,Worker #3,시스템 가동 시간 확인,정상,"up 1 week, 2 days, 59 minutes",-,정보 수집 완료,info,2026-01-28T10:22:12.938166
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-01-28T10:22:13.283158
OS-006,로드 애버리지,DEV Worker,DEV,Worker #3,1분 평균 로드 확인,정상,2.38,8.0,정상 범위,medium,2026-01-28T10:22:13.522005
OS-007,열린 파일 수,DEV Worker,DEV,Worker #3,시스템 전체 열린 파일 디스크립터 수,정상,5248,100000개,정상 범위,low,2026-01-28T10:22:13.745695
OS-008,네트워크 연결,DEV Worker,DEV,Worker #3,ESTABLISHED 상태 TCP 연결 수,정상,43,2000개,정상 범위,low,2026-01-28T10:22:14.030479
OS-009,커널 버전,DEV Worker,DEV,Worker #3,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-01-28T10:22:14.291639
K8S-001,노드 상태,Kubernetes,DEV,DEV Cluster,모든 노드 Ready 상태 확인,정상,"gpu-master-01:Ready
gpu-master-02:Ready
gpu-master-03:Ready
gpu-worker-01:Ready
gpu-worker-02:Ready
gpu-worker-03:Ready",-,모두 정상 (6/6),critical,2026-01-28T10:22:14.394916
K8S-002,노드 CPU 사용량,Kubernetes,DEV,DEV Cluster,노드별 CPU 사용률,정상,"gpu-master-01:7
gpu-master-02:4
gpu-master-03:5
gpu-worker-01:7
gpu-worker-02:4
gpu-worker-03:8",80%,정상 범위,high,2026-01-28T10:22:14.470676
K8S-003,노드 메모리 사용량,Kubernetes,DEV,DEV Cluster,노드별 메모리 사용률,정상,"gpu-master-01:30
gpu-master-02:28
gpu-master-03:28
gpu-worker-01:36
gpu-worker-02:39
gpu-worker-03:39",80%,정상 범위,high,2026-01-28T10:22:14.553721
K8S-004,Control Plane Pod 상태,Kubernetes,DEV,DEV Cluster,kube-system 네임스페이스 Pod 상태,정상,"calico-kube-controllers-85d77456b8-nzsbs:Running
calico-node-62fc2:Running
calico-node-6dwnd:Running
calico-node-7jrrz:Running
calico-node-8nwsd:Running
calico-node-jlq96:Running
calico-node-x4spl:Run",-,모두 정상 (29/29),critical,2026-01-28T10:22:14.664543
K8S-005,Warning 이벤트,Kubernetes,DEV,DEV Cluster,최근 Warning 이벤트 수,위험,25,20개,즉시 조치 필요 (25.0개),medium,2026-01-28T10:22:14.754186
K8S-006,NotReady 노드,Kubernetes,DEV,DEV Cluster,NotReady 상태 노드 수,정상,"0
0",-,정상,critical,2026-01-28T10:22:14.843481
K8S-007,클러스터 버전,Kubernetes,DEV,DEV Cluster,Kubernetes 클러스터 버전,정상,N/A,-,정보 수집 완료,info,2026-01-28T10:22:14.900679
SVC-001,Deployment 상태,Services,DEV,DEV Services,모든 Deployment Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-01-28T10:22:15.050482
SVC-002,StatefulSet 상태,Services,DEV,DEV Services,모든 StatefulSet Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-01-28T10:22:15.161142
SVC-003,DaemonSet 상태,Services,DEV,DEV Services,모든 DaemonSet Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-01-28T10:22:15.262550
SVC-004,Service Endpoints,Services,DEV,DEV Services,Endpoint 없는 Service 수,경고,2,-,주의 필요 (2.0개),medium,2026-01-28T10:22:15.353337
SVC-005,Ingress 상태,Services,DEV,DEV Services,Ingress 리소스 수,정상,17,-,정보 수집 완료,info,2026-01-28T10:22:15.438805
SVC-006,Pod 재시작 과다,Services,DEV,DEV Services,재시작 5회 이상 Pod,위험,"gitlab-kas-f6c784b56-4x66d:8
gitlab-kas-f6c784b56-lnpz7:7
gitlab-redis-master-0:30
gitlab-registry-66d9df55f4-5j25s:5
gitlab-registry-66d9df55f4-p69d4:28
gpu-operator-7569f8b499-zgnsl:221
gpu-operator",-,즉시 조치 필요 (6.0개),medium,2026-01-28T10:22:15.647206
SVC-007,Pending Pod,Services,DEV,DEV Services,Pending 상태 Pod 수,정상,0,-,정상,high,2026-01-28T10:22:15.722560
SVC-008,Failed Pod,Services,DEV,DEV Services,Failed 상태 Pod 수,정상,0,-,정상,critical,2026-01-28T10:22:15.789689
SVC-009,CronJob 상태,Services,DEV,DEV Services,CronJob 개수,정상,0,-,정보 수집 완료,info,2026-01-28T10:22:15.898539
SVC-010,Failed Job,Services,DEV,DEV Services,Failed 상태 Job 수,정상,0,-,정상,medium,2026-01-28T10:22:15.990501
APP-ARGO-01,ArgoCD Server,ArgoCD,DEV,DEV Apps,ArgoCD 웹 서버 정상 작동 확인,정상,1,1개,정상 (현재 1개),critical,2026-01-28T10:22:16.063108
APP-HBR-01,Harbor Core,Harbor,DEV,DEV Apps,Harbor Core 서비스 상태,정상,1,1개,정상 (현재 1개),critical,2026-01-28T10:22:16.129151
APP-HBR-02,Harbor Registry,Harbor,DEV,DEV Apps,Docker Registry 서비스 상태,정상,1,1개,정상 (현재 1개),critical,2026-01-28T10:22:16.193310
APP-MON-01,Grafana,Monitoring,DEV,DEV Apps,Grafana 대시보드 파드 상태,정상,1,1개,정상 (현재 1개),medium,2026-01-28T10:22:16.258351
APP-ELK-01,Elasticsearch Master,Logging,DEV,DEV Apps,Elasticsearch 마스터 노드 수,위험,0,3개,개수 부족 (현재 0/3),high,2026-01-28T10:22:16.320274
APP-KEY-01,Keycloak,Auth,DEV,DEV Apps,Keycloak 인증 서버 상태,정상,1,1개,정상 (현재 1개),critical,2026-01-28T10:22:16.387075
APP-LOKI-01,Loki Gateway,Logging,DEV,DEV Apps,Loki Gateway 서비스 상태,정상,1,1개,정상 (현재 1개),high,2026-01-28T10:22:16.448491
APP-LOKI-02,Loki Write/Read,Logging,DEV,DEV Apps,Loki 읽기/쓰기 노드 상태,정상,6,2개,정상 (현재 6개),medium,2026-01-28T10:22:16.522442
APP-RABBIT-01,RabbitMQ,Middleware,DEV,DEV Apps,RabbitMQ 메시지 브로커 상태,위험,0,1개,개수 부족 (현재 0/1),high,2026-01-28T10:22:16.586308
APP-SONAR-01,SonarQube,CICD,DEV,DEV Apps,SonarQube 서버 상태,위험,0,1개,개수 부족 (현재 0/1),medium,2026-01-28T10:22:16.646988
APP-TRAEFIK-01,Traefik,Ingress,DEV,DEV Apps,Traefik Ingress Controller 상태,위험,0,1개,개수 부족 (현재 0/1),critical,2026-01-28T10:22:16.709134
SW-VER-01,Kubernetes 버전,SW Version,DEV,gpu-master01,Kubelet 버전 확인 (Node 레벨),정상,v1.34.3,-,버전 정보,info,2026-01-28T10:22:17.214685
SW-VER-02,Containerd 버전,SW Version,DEV,gpu-master01,Containerd 런타임 버전 확인,정상,v2.2.1,-,버전 정보,info,2026-01-28T10:22:17.493935
SW-VER-03,전체 Pod 이미지 현황,SW Version,DEV,DEV Cluster,클러스터 내 구동 중인 모든 Pod의 이미지 태그 추출,정상,총 153개 이미지 (상세 생략),-,이미지 153개 추출 완료,info,2026-01-28T10:22:18.005160
