# 2026년 7주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-02-13 09:57:53
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 87
# 정상: 80 / 경고: 3 / 위험: 4 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
SSL-001-google.com,google.com SSL,SSL,인증서,google.com,주요 도메인의 인증서 만료일자 확인,경고,Apr 13 08:36:58 2026 GMT,-,갱신 필요 (58일 남음),high,2026-02-13T09:57:31.211089
SSL-001-example.com,example.com SSL,SSL,인증서,example.com,주요 도메인의 인증서 만료일자 확인,경고,Mar 16 18:32:44 2026 GMT,-,갱신 필요 (31일 남음),high,2026-02-13T09:57:31.301959
OS-001,디스크 사용량,DEV Master,DEV,Master #1,루트 파일시스템 디스크 사용률 확인,정상,38,80%,정상 범위,high,2026-02-13T09:57:31.749498
OS-002,메모리 사용량,DEV Master,DEV,Master #1,시스템 메모리 사용률 확인,정상,26.1,85%,정상 범위,high,2026-02-13T09:57:31.984141
OS-003,CPU 사용량,DEV Master,DEV,Master #1,CPU 평균 사용률 확인,정상,2,90%,정상 범위,high,2026-02-13T09:57:32.389882
OS-004,시스템 업타임,DEV Master,DEV,Master #1,시스템 가동 시간 확인,정상,"up 3 weeks, 3 days, 22 hours, 49 minutes",-,정보 수집 완료,info,2026-02-13T09:57:32.629539
OS-005,좀비 프로세스,DEV Master,DEV,Master #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-13T09:57:32.887978
OS-006,로드 애버리지,DEV Master,DEV,Master #1,1분 평균 로드 확인,정상,0.25,8.0,정상 범위,medium,2026-02-13T09:57:33.112340
OS-007,열린 파일 수,DEV Master,DEV,Master #1,시스템 전체 열린 파일 디스크립터 수,정상,2720,100000개,정상 범위,low,2026-02-13T09:57:33.348914
OS-008,네트워크 연결,DEV Master,DEV,Master #1,ESTABLISHED 상태 TCP 연결 수,정상,1152,2000개,정상 범위,low,2026-02-13T09:57:33.605502
OS-009,커널 버전,DEV Master,DEV,Master #1,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-13T09:57:33.828900
OS-001,디스크 사용량,DEV Master,DEV,Master #2,루트 파일시스템 디스크 사용률 확인,정상,38,80%,정상 범위,high,2026-02-13T09:57:34.196714
OS-002,메모리 사용량,DEV Master,DEV,Master #2,시스템 메모리 사용률 확인,정상,25.6,85%,정상 범위,high,2026-02-13T09:57:34.411604
OS-003,CPU 사용량,DEV Master,DEV,Master #2,CPU 평균 사용률 확인,정상,3,90%,정상 범위,high,2026-02-13T09:57:34.793437
OS-004,시스템 업타임,DEV Master,DEV,Master #2,시스템 가동 시간 확인,정상,"up 3 weeks, 3 days, 23 hours, 22 minutes",-,정보 수집 완료,info,2026-02-13T09:57:35.019742
OS-005,좀비 프로세스,DEV Master,DEV,Master #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-13T09:57:35.242346
OS-006,로드 애버리지,DEV Master,DEV,Master #2,1분 평균 로드 확인,정상,0.49,8.0,정상 범위,medium,2026-02-13T09:57:35.455200
OS-007,열린 파일 수,DEV Master,DEV,Master #2,시스템 전체 열린 파일 디스크립터 수,정상,2624,100000개,정상 범위,low,2026-02-13T09:57:35.680014
OS-008,네트워크 연결,DEV Master,DEV,Master #2,ESTABLISHED 상태 TCP 연결 수,정상,1172,2000개,정상 범위,low,2026-02-13T09:57:35.935122
OS-009,커널 버전,DEV Master,DEV,Master #2,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-13T09:57:36.141404
OS-001,디스크 사용량,DEV Master,DEV,Master #3,루트 파일시스템 디스크 사용률 확인,정상,39,80%,정상 범위,high,2026-02-13T09:57:36.593721
OS-002,메모리 사용량,DEV Master,DEV,Master #3,시스템 메모리 사용률 확인,정상,25.3,85%,정상 범위,high,2026-02-13T09:57:36.832405
OS-003,CPU 사용량,DEV Master,DEV,Master #3,CPU 평균 사용률 확인,정상,4,90%,정상 범위,high,2026-02-13T09:57:37.234529
OS-004,시스템 업타임,DEV Master,DEV,Master #3,시스템 가동 시간 확인,정상,"up 3 weeks, 3 days, 23 hours, 2 minutes",-,정보 수집 완료,info,2026-02-13T09:57:37.469654
OS-005,좀비 프로세스,DEV Master,DEV,Master #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-13T09:57:37.718186
OS-006,로드 애버리지,DEV Master,DEV,Master #3,1분 평균 로드 확인,정상,0.35,8.0,정상 범위,medium,2026-02-13T09:57:37.953001
OS-007,열린 파일 수,DEV Master,DEV,Master #3,시스템 전체 열린 파일 디스크립터 수,정상,2688,100000개,정상 범위,low,2026-02-13T09:57:38.199511
OS-008,네트워크 연결,DEV Master,DEV,Master #3,ESTABLISHED 상태 TCP 연결 수,정상,1176,2000개,정상 범위,low,2026-02-13T09:57:38.469569
