# 2026년 7주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-02-13 09:57:53
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 87
# 정상: 80 / 경고: 3 / 위험: 4 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-009,커널 버전,DEV Master,DEV,Master #3,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-13T09:57:38.703437
OS-001,디스크 사용량,DEV Worker,DEV,Worker #1,루트 파일시스템 디스크 사용률 확인,정상,55,80%,정상 범위,high,2026-02-13T09:57:39.097306
OS-002,메모리 사용량,DEV Worker,DEV,Worker #1,시스템 메모리 사용률 확인,정상,43.7,85%,정상 범위,high,2026-02-13T09:57:39.449364
OS-003,CPU 사용량,DEV Worker,DEV,Worker #1,CPU 평균 사용률 확인,정상,9,90%,정상 범위,high,2026-02-13T09:57:40.030082
OS-004,시스템 업타임,DEV Worker,DEV,Worker #1,시스템 가동 시간 확인,정상,"up 3 weeks, 3 days, 16 hours, 37 minutes",-,정보 수집 완료,info,2026-02-13T09:57:40.401830
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-13T09:57:40.849959
OS-006,로드 애버리지,DEV Worker,DEV,Worker #1,1분 평균 로드 확인,정상,2.36,8.0,정상 범위,medium,2026-02-13T09:57:41.111817
OS-007,열린 파일 수,DEV Worker,DEV,Worker #1,시스템 전체 열린 파일 디스크립터 수,정상,12864,100000개,정상 범위,low,2026-02-13T09:57:41.388964
OS-008,네트워크 연결,DEV Worker,DEV,Worker #1,ESTABLISHED 상태 TCP 연결 수,정상,42,2000개,정상 범위,low,2026-02-13T09:57:41.667258
OS-009,커널 버전,DEV Worker,DEV,Worker #1,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-13T09:57:41.904561
OS-001,디스크 사용량,DEV Worker,DEV,Worker #2,루트 파일시스템 디스크 사용률 확인,정상,48,80%,정상 범위,high,2026-02-13T09:57:42.223893
OS-002,메모리 사용량,DEV Worker,DEV,Worker #2,시스템 메모리 사용률 확인,정상,48.1,85%,정상 범위,high,2026-02-13T09:57:42.522088
OS-003,CPU 사용량,DEV Worker,DEV,Worker #2,CPU 평균 사용률 확인,정상,1,90%,정상 범위,high,2026-02-13T09:57:43.024596
OS-004,시스템 업타임,DEV Worker,DEV,Worker #2,시스템 가동 시간 확인,정상,"up 3 weeks, 4 days, 32 minutes",-,정보 수집 완료,info,2026-02-13T09:57:43.306572
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-13T09:57:43.623616
OS-006,로드 애버리지,DEV Worker,DEV,Worker #2,1분 평균 로드 확인,정상,1.78,8.0,정상 범위,medium,2026-02-13T09:57:43.889560
OS-007,열린 파일 수,DEV Worker,DEV,Worker #2,시스템 전체 열린 파일 디스크립터 수,정상,4928,100000개,정상 범위,low,2026-02-13T09:57:44.134498
OS-008,네트워크 연결,DEV Worker,DEV,Worker #2,ESTABLISHED 상태 TCP 연결 수,정상,42,2000개,정상 범위,low,2026-02-13T09:57:44.377959
OS-009,커널 버전,DEV Worker,DEV,Worker #2,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-13T09:57:44.615021
OS-001,디스크 사용량,DEV Worker,DEV,Worker #3,루트 파일시스템 디스크 사용률 확인,정상,57,80%,정상 범위,high,2026-02-13T09:57:44.965418
OS-002,메모리 사용량,DEV Worker,DEV,Worker #3,시스템 메모리 사용률 확인,정상,39.5,85%,정상 범위,high,2026-02-13T09:57:45.285453
OS-003,CPU 사용량,DEV Worker,DEV,Worker #3,CPU 평균 사용률 확인,정상,1,90%,정상 범위,high,2026-02-13T09:57:45.770570
OS-004,시스템 업타임,DEV Worker,DEV,Worker #3,시스템 가동 시간 확인,정상,"up 3 weeks, 4 days, 35 minutes",-,정보 수집 완료,info,2026-02-13T09:57:46.065354
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-13T09:57:46.375417
OS-006,로드 애버리지,DEV Worker,DEV,Worker #3,1분 평균 로드 확인,정상,2.26,8.0,정상 범위,medium,2026-02-13T09:57:46.595816
OS-007,열린 파일 수,DEV Worker,DEV,Worker #3,시스템 전체 열린 파일 디스크립터 수,정상,5056,100000개,정상 범위,low,2026-02-13T09:57:46.840598
OS-008,네트워크 연결,DEV Worker,DEV,Worker #3,ESTABLISHED 상태 TCP 연결 수,정상,43,2000개,정상 범위,low,2026-02-13T09:57:47.096473
OS-009,커널 버전,DEV Worker,DEV,Worker #3,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-13T09:57:47.336344
K8S-001,노드 상태,Kubernetes,DEV,DEV Cluster,모든 노드 Ready 상태 확인,정상,"gpu-master-01:Ready
gpu-master-02:Ready
gpu-master-03:Ready
gpu-node-01:Ready
gpu-worker-01:Ready
gpu-worker-02:Ready
gpu-worker-03:Ready",-,모두 정상 (7/7),critical,2026-02-13T09:57:47.448281
K8S-002,노드 CPU 사용량,Kubernetes,DEV,DEV Cluster,노드별 CPU 사용률,정상,"gpu-master-01:6
gpu-master-02:4
gpu-master-03:5
gpu-node-01:2
gpu-worker-01:9
gpu-worker-02:4
gpu-worker-03:7",80%,정상 범위,high,2026-02-13T09:57:47.530948
K8S-003,노드 메모리 사용량,Kubernetes,DEV,DEV Cluster,노드별 메모리 사용률,정상,"gpu-master-01:29
gpu-master-02:28
gpu-master-03:28
gpu-node-01:5
gpu-worker-01:44
gpu-worker-02:51
gpu-worker-03:45",80%,정상 범위,high,2026-02-13T09:57:47.609674
K8S-004,Control Plane Pod 상태,Kubernetes,DEV,DEV Cluster,kube-system 네임스페이스 Pod 상태,정상,"calico-kube-controllers-85d77456b8-nzsbs:Running
calico-node-62fc2:Running
calico-node-6dwnd:Running
calico-node-7jrrz:Running
calico-node-8nwsd:Running
calico-node-jlq96:Running
calico-node-x4spl:Run",-,모두 정상 (32/32),critical,2026-02-13T09:57:47.714073
K8S-005,Warning 이벤트,Kubernetes,DEV,DEV Cluster,최근 Warning 이벤트 수,위험,34,50개,즉시 조치 필요 (34.0개),medium,2026-02-13T09:57:47.798434
K8S-006,NotReady 노드,Kubernetes,DEV,DEV Cluster,NotReady 상태 노드 수,정상,"0
0",-,정상,critical,2026-02-13T09:57:47.885907
K8S-007,클러스터 버전,Kubernetes,DEV,DEV Cluster,Kubernetes 클러스터 버전,정상,N/A,-,정보 수집 완료,info,2026-02-13T09:57:47.939070
SVC-001,Deployment 상태,Services,DEV,DEV Services,모든 Deployment Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-02-13T09:57:48.081394
SVC-002,StatefulSet 상태,Services,DEV,DEV Services,모든 StatefulSet Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-02-13T09:57:48.173090
SVC-003,DaemonSet 상태,Services,DEV,DEV Services,모든 DaemonSet Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-02-13T09:57:48.278494
SVC-004,Service Endpoints,Services,DEV,DEV Services,Endpoint 없는 Service 수,경고,1,-,주의 필요 (1.0개),medium,2026-02-13T09:57:48.366094
SVC-005,Ingress 상태,Services,DEV,DEV Services,Ingress 리소스 수,정상,17,-,정보 수집 완료,info,2026-02-13T09:57:48.440817
SVC-006,Pod 재시작 과다,Services,DEV,DEV Services,재시작 15회 이상 Pod,정상,"gitlab-redis-master-0:82
gitlab-registry-66d9df55f4-p69d4:28
gpu-operator-7569f8b499-47mbt:61
gpu-operator-node-feature-discovery-master-6b5787f695-qccv2:103
calico-kube-controllers-85d77456b8-nzsbs:2",-,정상,medium,2026-02-13T09:57:48.670510
SVC-007,Pending Pod,Services,DEV,DEV Services,Pending 상태 Pod 수,정상,0,-,정상,high,2026-02-13T09:57:48.744264
SVC-008,Failed Pod,Services,DEV,DEV Services,Failed 상태 Pod 수,정상,0,-,정상,critical,2026-02-13T09:57:48.814801
SVC-009,CronJob 상태,Services,DEV,DEV Services,CronJob 개수,정상,0,-,정보 수집 완료,info,2026-02-13T09:57:50.116934
SVC-010,Failed Job,Services,DEV,DEV Services,Failed 상태 Job 수,정상,0,-,정상,medium,2026-02-13T09:57:50.197667
APP-ARGO-01,ArgoCD Server,ArgoCD,DEV,DEV Apps,ArgoCD 웹 서버 정상 작동 확인,정상,1,1개,정상 (현재 1개),critical,2026-02-13T09:57:50.272080
APP-HBR-01,Harbor Core,Harbor,DEV,DEV Apps,Harbor Core 서비스 상태,정상,1,1개,정상 (현재 1개),critical,2026-02-13T09:57:50.342437
APP-HBR-02,Harbor Registry,Harbor,DEV,DEV Apps,Registry 서비스 상태,정상,1,1개,정상 (현재 1개),critical,2026-02-13T09:57:50.501552
APP-MON-01,Grafana,Monitoring,DEV,DEV Apps,Grafana 대시보드 파드 상태,정상,1,1개,정상 (현재 1개),medium,2026-02-13T09:57:50.581250
APP-ELK-01,Elasticsearch Master,Logging,DEV,DEV Apps,Elasticsearch 마스터 노드 수,위험,0,3개,개수 부족 (현재 0/3),high,2026-02-13T09:57:51.304354
APP-KEY-01,Keycloak,Auth,DEV,DEV Apps,Keycloak 인증 서버 상태,정상,1,1개,정상 (현재 1개),critical,2026-02-13T09:57:51.369565
APP-LOKI-01,Loki Gateway,Logging,DEV,DEV Apps,Loki Gateway 서비스 상태,정상,1,1개,정상 (현재 1개),high,2026-02-13T09:57:51.434076
APP-LOKI-02,Loki Write/Read,Logging,DEV,DEV Apps,Loki 읽기/쓰기 노드 상태,정상,6,2개,정상 (현재 6개),medium,2026-02-13T09:57:51.612079
APP-RABBIT-01,RabbitMQ,Middleware,DEV,DEV Apps,RabbitMQ 메시지 브로커 상태,위험,0,1개,개수 부족 (현재 0/1),high,2026-02-13T09:57:51.713447
APP-SONAR-01,SonarQube,CICD,DEV,DEV Apps,SonarQube 서버 상태,위험,0,1개,개수 부족 (현재 0/1),medium,2026-02-13T09:57:51.777501
APP-TRAEFIK-01,Traefik,Ingress,DEV,DEV Apps,Traefik Ingress Controller 상태,정상,1,1개,정상 (현재 1개),critical,2026-02-13T09:57:52.024283
SW-VER-01,Kubernetes 버전,SW Version,DEV,gpu-master01,Kubelet 버전 확인 (Node 레벨),정상,v1.34.3,-,버전 정보,info,2026-02-13T09:57:52.515620
SW-VER-02,Containerd 버전,SW Version,DEV,gpu-master01,Containerd 런타임 버전 확인,정상,v2.2.1,-,버전 정보,info,2026-02-13T09:57:52.770549
SW-VER-03,전체 Pod 이미지 현황,SW Version,DEV,DEV Cluster,클러스터 내 구동 중인 모든 Pod의 이미지 태그 추출,정상,총 173개 이미지 (상세 생략),-,이미지 173개 추출 완료,info,2026-02-13T09:57:53.381057
